Airport,ShortName,Location,Country,Size
Cachoeira Airport,CCQ,Cachoeira,Brazil,1
Cachoeiro Itapemirim Airport,CDI,Cachoeiro Itapemirim,Brazil,1
Cacoal Airport,OAL,Cacoal,Brazil,1
Caldas Novas Airport,CLV,Caldas Novas,Brazil,1
Cameta Airport,CMT,Cameta,Brazil,1
Camocim Airport,CMC,Camocim,Brazil,1
El Encanto Airport,ECO,El Encanto,Colombia,1
El Recreo Airport,ELJ,El Recreo,Colombia,1
El Yopal Airport,EYP,El Yopal,Colombia,1
Capitolio Airport,FLA,Florencia,Colombia,1
Gamarra Airport,GRA,Gamarra,Colombia,1
Gilgal Airport,GGL,Gilgal,Colombia,1
Girardot Airport,GIR,Girardot,Colombia,1
Guacamaya Airport,GCA,Guacamaya,Colombia,1
Arusha Airport,ARK,Arusha,Tanzania,1
Bukoba Airport,BKZ,Bukoba,Tanzania,1
Dar Es Salaam International Airport,DAR,Dar Es Salaam,Tanzania,2
Dodoma Airport,DOD,Dodoma,Tanzania,1
Geita Airport,GIT,Geita,Tanzania,1
Nduli Airport,IRI,Iringa,Tanzania,1
Kigoma Airport,TKQ,Kigoma,Tanzania,1
Joao Suassuna Airport,CPV,Campina Grande,Brazil,1
Campinas International Airport,CPQ,Campinas,Brazil,2
Internacional Airport,CGR,Campo Grande,Brazil,1
Campo Mourao Airport,CBW,Campo Mourao,Brazil,1
Bartolomeu Lisandro Airport,CAW,Campos,Brazil,1
Cana Brava Airport,NBV,Cana Brava,Brazil,1
Canarana Airport,CQA,Canarana,Brazil,1
Canavieiras Airport,CNV,Canavieiras,Brazil,1
Carajas Airport,CKS,Carajas,Brazil,1
Matsapha International Airport,MTS,Manzini,Swaziland,1
Aggeneys Airport,AGZ,Aggeneys,South Africa,1
Kortdoorn Airport,ALJ,Alexander Bay,South Africa,1
Alldays Airport,ADY,Alldays,South Africa,1
Bisho Airport,BIY,Bisho,South Africa,1
Butterworth Airport,UTE,Butterworth,South Africa,1
Guamal Airport,GAA,Guamal,Colombia,1
Guapi Airport,GPI,Guapi,Colombia,1
